if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 > 10.965 and x2 <= 12.484 and x2 <= 12.423 and x2 <= 11.825 and x1 <= 12.457 and x1 <= 11.947 and x2 > 11.76 and x1 <= 11.051 and age <= 68.5 then class: 1 | based on 13 samples | coverage 0.51% | error 0.0% | relevance 0.51

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 > 1.984 and x2 > 3.415 and x2 <= 3.455 then class: 1 | based on 12 samples | coverage 0.47% | error 0.0% | relevance 0.47

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 > 1.984 and x2 <= 3.415 and x2 <= 3.361 and x1 <= 10.39 and age <= 60.5 and x1 > 4.835 and age > 45.0 then class: 0 | based on 10 samples | coverage 0.41% | error 0.0% | relevance 0.41

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 <= 1.984 and x2 > 1.845 and x1 > -1.292 and age <= 67.0 and x1 > 8.671 then class: 1 | based on 10 samples | coverage 0.39% | error 0.0% | relevance 0.39

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 > 1.984 and x2 > 3.415 and x2 > 3.455 and x1 > -2.884 and x2 <= 4.76 and x2 > 4.498 and x2 > 4.532 and age <= 65.5 and x1 <= 3.859 and age > 45.0 then class: 1 | based on 10 samples | coverage 0.39% | error 0.0% | relevance 0.39

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 > 10.965 and x2 <= 12.484 and x2 <= 12.423 and x2 > 11.825 and age > 27.5 and x1 <= 5.629 and age <= 45.0 and x1 <= 4.624 then class: 0 | based on 10 samples | coverage 0.41% | error 0.0% | relevance 0.41

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 > 10.965 and x2 <= 12.484 and x2 <= 12.423 and x2 <= 11.825 and x1 > 12.457 then class: 1 | based on 10 samples | coverage 0.39% | error 0.0% | relevance 0.39

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 <= 1.984 and x2 <= 1.845 and x2 <= 1.808 and x1 > -2.87 and x2 > 1.625 and x2 <= 1.675 and x2 > 1.644 then class: 1 | based on 9 samples | coverage 0.35% | error 0.0% | relevance 0.35

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 <= 1.984 and x2 <= 1.845 and x2 <= 1.808 and x1 > -2.87 and x2 <= 1.625 and x2 <= 1.61 and x2 <= 1.6 and x2 <= -0.498 and x2 > -0.646 and x1 > 5.596 and age <= 45.0 then class: 1 | based on 9 samples | coverage 0.35% | error 0.0% | relevance 0.35

